Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2009:02:14:08:19:11.091,2009:02:16:12:35:03.334,188152.243
2009:02:16:16:15:28.242,2009:02:18:20:20:14.161,187485.919
2009:02:19:00:17:22.149,2009:02:21:04:10:42.035,186799.886
2009:02:21:08:25:31.600,2009:02:23:12:07:19.839,186108.238
2009:02:23:16:40:45.702,2009:02:25:20:11:14.973,185429.271
2009:02:26:01:04:08.001,2009:02:28:04:23:53.235,184785.234
2009:02:28:09:36:59.223,2009:03:02:12:46:58.166,184198.943
2009:03:02:18:20:52.625,2009:03:04:21:22:20.973,183688.348
2009:03:05:03:17:16.681,2009:03:07:06:11:37.458,183260.776
2009:03:07:12:27:03.880,2009:03:09:15:15:33.275,182909.394
2009:03:09:21:49:52.492,2009:03:12:00:33:31.503,182619.011
2009:03:12:07:23:43.217,2009:03:14:10:03:25.675,182382.457
2009:03:14:17:05:14.071,2009:03:16:19:42:02.368,182208.297
2009:03:17:02:50:23.272,2009:03:19:05:25:33.635,182110.363
2009:03:19:12:35:09.528,2009:03:21:15:10:07.396,182097.868
2009:03:21:22:15:59.439,2009:03:24:00:52:16.415,182176.976
2009:03:24:07:50:07.040,2009:03:26:10:29:22.753,182355.713
2009:03:26:17:15:44.762,2009:03:28:19:59:46.629,182641.867
2009:03:29:02:31:58.521,2009:03:31:05:22:30.698,183032.177
2009:03:31:11:38:24.204,2009:04:02:14:36:49.787,183505.582
2009:04:02:20:34:40.777,2009:04:04:23:41:51.583,184030.805
2009:04:05:05:20:21.154,2009:04:07:08:36:41.103,184579.949
2009:04:07:13:55:03.341,2009:04:09:17:20:39.538,185136.197
2009:04:09:22:18:47.524,2009:04:12:01:53:41.146,185693.622
2009:04:12:06:32:05.249,2009:04:14:10:16:16.510,186251.261
2009:04:14:14:35:55.252,2009:04:16:18:29:22.343,186807.091
2009:04:16:22:31:30.842,2009:04:19:02:34:07.618,187356.776
2009:04:19:06:20:07.653,2009:04:21:10:31:43.721,187896.068
2009:04:21:14:02:56.582,2009:04:23:18:23:19.787,188423.204
2009:04:23:21:41:01.253,2009:04:26:02:10:00.461,188939.208
2009:04:26:05:15:17.192,2009:04:28:09:52:42.264,189445.072
2009:04:28:12:46:30.306,2009:04:30:17:32:08.392,189938.086
2009:04:30:20:15:14.786,2009:05:03:01:08:46.820,190412.035
2009:05:03:03:41:53.472,2009:05:05:08:42:53.876,190860.404
2009:05:05:11:06:41.299,2009:05:07:16:14:40.128,191278.829
2009:05:07:18:29:49.319,2009:05:09:23:44:14.801,191665.482
2009:05:10:01:51:27.379,2009:05:12:07:11:48.037,192020.658
2009:05:12:09:11:45.280,2009:05:14:14:37:31.304,192346.024
2009:05:14:16:30:52.888,2009:05:16:22:01:36.800,192643.913
2009:05:16:23:48:59.760,2009:05:19:05:24:16.759,192916.999
2009:05:19:07:06:14.811,2009:05:21:12:45:43.200,193168.389
2009:05:21:14:22:46.261,2009:05:23:20:06:08.098,193401.837
2009:05:23:21:38:41.790,2009:05:26:03:25:43.188,193621.398
2009:05:26:04:54:08.503,2009:05:28:10:44:38.668,193830.165
2009:05:28:12:09:12.346,2009:05:30:18:03:01.512,194029.167
2009:05:30:19:23:57.388,2009:06:02:01:20:55.308,194217.92
2009:06:02:02:38:25.914,2009:06:04:08:38:21.490,194395.576
2009:06:04:09:52:39.090,2009:06:06:15:55:20.670,194561.58
2009:06:06:17:06:37.664,2009:06:08:23:11:53.423,194715.759
2009:06:09:00:20:22.306,2009:06:11:06:28:00.643,194858.337
2009:06:11:07:33:53.809,2009:06:13:13:43:43.640,194989.831
2009:06:13:14:47:13.090,2009:06:15:20:59:04.091,195111.001
2009:06:15:22:00:21.187,2009:06:18:04:14:04.006,195222.819
2009:06:18:05:13:19.254,2009:06:20:11:28:45.802,195326.548
2009:06:20:12:26:08.569,2009:06:22:18:43:12.413,195423.844
2009:06:22:19:38:50.621,2009:06:25:01:57:27.049,195516.429
2009:06:25:02:51:26.992,2009:06:27:09:11:32.414,195605.422
2009:06:27:10:03:59.003,2009:06:29:16:25:30.056,195691.053
2009:06:29:17:16:27.451,2009:07:01:23:39:20.489,195773.038
2009:07:02:00:28:52.642,2009:07:04:06:53:03.668,195851.026
2009:07:04:07:41:14.630,2009:07:06:14:06:39.367,195924.737
2009:07:06:14:53:33.376,2009:07:07:17:56:13.839,97360.463
2009:07:07:20:24:27.032,2009:07:08:21:20:07.352,89740.319
2009:07:08:22:05:48.840,2009:07:11:04:33:27.506,196058.667
2009:07:11:05:18:00.996,2009:07:13:11:46:39.860,196118.864
2009:07:13:12:30:09.901,2009:07:15:18:59:44.627,196174.726
2009:07:15:19:42:15.674,2009:07:18:02:12:42.281,196226.606
2009:07:18:02:54:18.532,2009:07:20:09:25:33.620,196275.089
2009:07:20:10:06:18.871,2009:07:22:16:38:19.833,196320.962
2009:07:22:17:18:17.247,2009:07:24:23:51:02.245,196364.999
2009:07:25:00:30:14.335,2009:07:27:07:03:41.850,196407.515
2009:07:27:07:42:10.647,2009:07:29:14:16:19.112,196448.465
2009:07:29:14:54:06.454,2009:07:31:21:28:54.097,196487.644
2009:07:31:22:06:01.827,2009:08:03:04:41:26.662,196524.835
2009:08:03:05:17:56.725,2009:08:05:11:53:56.577,196559.852
2009:08:05:12:29:51.050,2009:08:07:19:06:23.594,196592.544
2009:08:07:19:41:44.668,2009:08:10:02:18:47.483,196622.815
2009:08:10:02:53:37.448,2009:08:12:09:31:08.083,196650.635
2009:08:12:10:05:29.268,2009:08:14:16:43:25.368,196676.1
2009:08:14:17:17:20.065,2009:08:16:23:55:39.494,196699.429
2009:08:17:00:29:09.885,2009:08:19:07:07:50.894,196721.009
2009:08:19:07:40:58.937,2009:08:21:14:20:00.243,196741.306
2009:08:21:14:52:47.609,2009:08:23:21:32:08.221,196760.613
2009:08:23:22:04:36.331,2009:08:26:04:44:15.295,196778.964
2009:08:26:05:16:25.426,2009:08:28:11:56:21.656,196796.23
2009:08:28:12:28:15.054,2009:08:30:19:08:27.301,196812.247
2009:08:30:19:40:05.252,2009:09:02:02:20:32.121,196826.869
2009:09:02:02:51:55.976,2009:09:04:09:32:35.943,196839.967
2009:09:04:10:03:47.114,2009:09:06:16:44:38.538,196851.424
2009:09:06:17:15:38.508,2009:09:08:23:56:39.687,196861.179
2009:09:09:00:27:29.962,2009:09:11:07:08:39.198,196869.236
2009:09:11:07:39:21.293,2009:09:13:14:20:37.010,196875.717
2009:09:13:14:51:12.384,2009:09:15:21:32:33.230,196880.846
2009:09:15:22:03:03.279,2009:09:18:04:44:28.185,196884.906
2009:09:18:05:14:54.205,2009:09:20:11:56:22.325,196888.12
2009:09:20:12:26:45.557,2009:09:22:19:08:16.083,196890.526
2009:09:22:19:38:37.745,2009:09:25:02:20:09.730,196891.984
2009:09:25:02:50:31.070,2009:09:27:09:32:03.392,196892.322
2009:09:27:10:02:25.711,2009:09:29:16:43:57.075,196891.364
2009:09:29:17:14:21.737,2009:10:01:23:55:50.718,196888.981
2009:10:02:00:26:19.138,2009:10:04:07:07:44.172,196885.033
2009:10:04:07:38:17.803,2009:10:06:14:19:37.235,196879.432
2009:10:06:14:50:17.532,2009:10:08:21:31:29.680,196872.148
2009:10:08:22:02:18.049,2009:10:11:04:43:21.330,196863.281
2009:10:11:05:14:19.122,2009:10:13:11:55:12.138,196853.015
2009:10:13:12:26:20.636,2009:10:15:19:07:02.240,196841.604
2009:10:15:19:38:22.716,2009:10:18:02:18:51.928,196829.212
2009:10:18:02:50:25.718,2009:10:20:09:30:41.582,196815.864
2009:10:20:10:02:30.146,2009:10:22:16:42:31.535,196801.389
2009:10:22:17:14:36.514,2009:10:24:23:54:22.032,196785.518
2009:10:25:00:26:45.236,2009:10:27:07:06:13.227,196767.992
2009:10:27:07:38:56.621,2009:10:29:14:18:05.187,196748.567
2009:10:29:14:51:10.863,2009:10:31:21:29:57.905,196727.042
2009:10:31:22:03:28.045,2009:11:03:04:41:51.276,196703.231
2009:11:03:05:15:48.069,2009:11:05:11:53:45.096,196677.027
2009:11:05:12:28:10.651,2009:11:07:19:05:39.134,196648.483
2009:11:07:19:40:35.394,2009:11:10:02:17:33.247,196617.854
2009:11:10:02:53:02.014,2009:11:12:09:29:27.452,196585.438
2009:11:12:10:05:30.498,2009:11:14:16:41:21.972,196551.474
2009:11:14:17:18:01.187,2009:11:16:23:53:17.175,196515.988
2009:11:17:00:30:34.732,2009:11:19:07:05:13.505,196478.773
2009:11:19:07:43:11.965,2009:11:21:14:17:11.404,196439.439
2009:11:21:14:55:53.758,2009:11:23:21:29:11.270,196397.512
2009:11:23:22:08:40.923,2009:11:26:04:41:13.451,196352.528
2009:11:26:05:21:34.199,2009:11:28:11:53:18.233,196304.034
2009:11:28:12:34:34.202,2009:11:30:19:05:25.802,196251.6
2009:11:30:19:47:41.325,2009:12:03:02:17:36.173,196194.848
2009:12:03:03:00:55.594,2009:12:05:09:29:49.180,196133.586
2009:12:05:10:14:16.607,2009:12:07:16:42:04.618,196068.011
2009:12:07:17:27:43.834,2009:12:09:23:54:22.448,195998.614
2009:12:10:00:41:17.076,2009:12:12:07:06:42.920,195925.844
2009:12:12:07:54:56.740,2009:12:14:14:19:06.574,195849.834
2009:12:14:15:08:43.844,2009:12:16:21:31:34.193,195770.348
2009:12:16:22:22:39.945,2009:12:19:04:44:06.746,195686.8
2009:12:19:05:36:46.990,2009:12:21:11:56:45.318,195598.328
2009:12:21:12:51:07.170,2009:12:23:19:09:31.085,195503.915
2009:12:23:20:05:42.836,2009:12:26:02:22:25.279,195402.443
2009:12:26:03:20:36.422,2009:12:28:09:35:29.140,195292.718
2009:12:28:10:35:50.295,2009:12:30:16:48:43.720,195173.426
2009:12:30:17:51:26.352,2010:01:02:00:02:09.654,195043.301
2010:01:02:01:07:25.501,2010:01:04:07:15:47.149,194901.648
2010:01:04:08:23:47.664,2010:01:06:14:29:36.442,194748.778
2010:01:06:15:40:32.771,2010:01:08:21:43:38.325,194585.554
2010:01:08:22:57:41.873,2010:01:11:04:57:54.386,194412.513
2010:01:11:06:15:17.584,2010:01:13:12:12:27.061,194229.478
2010:01:13:13:33:24.097,2010:01:15:19:27:19.672,194035.574
2010:01:15:20:52:07.193,2010:01:18:02:42:36.494,193829.302
2010:01:18:04:11:34.252,2010:01:20:09:58:22.819,193608.567
2010:01:20:11:31:54.265,2010:01:22:17:14:45.043,193370.778
2010:01:22:18:53:17.821,2010:01:25:00:31:50.689,193112.868
2010:01:25:02:15:56.978,2010:01:27:07:49:48.154,192831.176
2010:01:27:09:40:04.547,2010:01:29:15:08:45.843,192521.297
2010:01:29:17:05:52.250,2010:01:31:22:28:51.056,192178.807
2010:02:01:00:33:28.672,2010:02:03:05:50:10.231,191801.558
2010:02:03:08:02:59.993,2010:02:05:13:12:51.030,191391.037
2010:02:05:15:34:33.935,2010:02:07:20:37:04.380,190950.446
2010:02:07:23:08:23.115,2010:02:10:04:03:05.558,190482.443
2010:02:10:06:44:46.316,2010:02:12:11:31:15.077,189988.761
2010:02:12:14:24:09.301,2010:02:14:19:02:00.042,189470.741
2010:02:14:22:07:06.216,2010:02:17:02:35:55.834,188929.618
2010:02:17:05:54:21.138,2010:02:19:10:13:47.818,188366.679
2010:02:19:13:46:49.212,2010:02:21:17:56:32.558,187783.346
2010:02:21:21:45:36.604,2010:02:24:01:45:17.542,187180.938
2010:02:24:05:51:57.560,2010:02:26:09:41:16.676,186559.116
2010:02:26:14:07:05.033,2010:02:28:17:45:39.418,185914.385
2010:02:28:22:31:53.617,2010:03:03:01:59:19.421,185245.805
2010:03:03:07:06:46.363,2010:03:05:10:22:54.311,184567.948
2010:03:05:15:51:40.700,2010:03:07:18:56:53.523,183912.823
2010:03:08:00:46:23.476,2010:03:10:03:41:41.117,183317.642
2010:03:10:09:50:36.768,2010:03:12:12:37:32.433,182815.665
2010:03:12:19:03:55.993,2010:03:14:21:44:30.309,182434.316
2010:03:15:04:25:47.988,2010:03:17:07:02:22.082,182194.094
2010:03:17:13:55:28.857,2010:03:19:16:30:33.634,182104.777
2010:03:19:23:31:56.360,2010:03:22:02:07:56.297,182159.937
2010:03:22:09:13:34.099,2010:03:24:11:52:27.413,182333.313
2010:03:24:18:57:52.135,2010:03:26:21:40:51.585,182579.45
2010:03:27:04:41:14.944,2010:03:29:07:28:38.795,182843.851
2010:03:29:14:19:14.451,2010:03:31:17:10:45.871,183091.42
2010:03:31:23:47:25.729,2010:04:03:02:42:57.124,183331.395
2010:04:03:09:02:41.754,2010:04:05:12:02:41.751,183599.997
2010:04:05:18:03:46.002,2010:04:07:21:09:11.516,183925.513
2010:04:08:02:50:51.024,2010:04:10:06:02:48.597,184317.573
2010:04:10:11:25:01.484,2010:04:12:14:44:35.592,184774.108
2010:04:12:19:47:46.230,2010:04:14:23:15:54.658,185288.428
2010:04:15:04:00:40.887,2010:04:17:07:38:12.153,185851.266
2010:04:17:12:05:16.233,2010:04:19:15:52:45.949,186449.716
2010:04:19:20:02:50.029,2010:04:22:00:00:36.790,187066.762
2010:04:22:03:54:22.907,2010:04:24:08:02:25.866,187682.96
2010:04:24:11:40:39.094,2010:04:26:15:58:38.842,188279.748
2010:04:26:19:22:10.998,2010:04:28:23:49:34.584,188843.586
2010:04:29:02:59:25.863,2010:05:01:07:35:34.677,189368.814
2010:05:01:10:32:51.557,2010:05:03:15:17:07.681,189856.124
2010:05:03:18:02:58.323,2010:05:05:22:54:46.863,190308.54
2010:05:06:01:30:16.721,2010:05:08:06:29:05.908,190729.188
2010:05:08:08:55:15.025,2010:05:10:14:00:36.242,191121.217
2010:05:10:16:18:18.002,2010:05:12:21:29:46.314,191488.312
2010:05:12:23:39:46.925,2010:05:15:04:57:01.514,191834.589
2010:05:15:06:59:59.881,2010:05:17:12:22:43.587,192163.706
2010:05:17:14:19:11.748,2010:05:19:19:47:09.278,192477.529
2010:05:19:21:37:33.801,2010:05:22:03:10:29.512,192775.711
2010:05:22:04:55:13.632,2010:05:24:10:32:50.160,193056.528
2010:05:24:12:12:15.848,2010:05:26:17:54:13.965,193318.117
2010:05:26:19:28:43.284,2010:05:29:01:14:42.782,193559.499
2010:05:29:02:44:38.202,2010:05:31:08:34:19.169,193780.967
2010:05:31:10:00:03.085,2010:06:02:15:53:06.913,193983.828
2010:06:02:17:15:00.840,2010:06:04:23:11:10.668,194169.828
2010:06:05:00:29:34.605,2010:06:07:06:28:35.459,194340.854
2010:06:07:07:43:47.512,2010:06:09:13:45:26.426,194498.914
2010:06:09:14:57:42.580,2010:06:11:21:01:48.814,194646.233
2010:06:11:22:11:22.750,2010:06:14:04:17:47.890,194785.14
2010:06:14:05:24:50.836,2010:06:16:11:33:28.390,194917.554
2010:06:16:12:38:09.324,2010:06:18:18:48:53.696,195044.372
2010:06:18:19:51:19.990,2010:06:21:02:04:05.491,195165.501
2010:06:21:03:04:23.777,2010:06:23:09:19:04.156,195280.38
2010:06:23:10:17:21.021,2010:06:25:16:33:49.462,195388.441
2010:06:25:17:30:11.752,2010:06:26:18:43:15.557,90783.805
2010:06:26:23:32:21.327,2010:06:27:23:48:21.144,87359.817
2010:06:28:00:42:55.985,2010:06:30:07:02:39.236,195583.251
2010:06:30:07:55:33.844,2010:06:30:10:00:00.000,7466.156
